Work Item ID,Summary,Work Type,Issue Type,Project Key,Description,Epic Name,Epic Link,Parent ID,Parent,Priority,Status,Labels,Due Date,Assignee,Story Points
STORY-38,Deployment,Story,Story,PT,"Target Date: 2025-09-18
Status: Completed

Complete deployment phase
Completed: 2025-09-18",,API Gateway Implementation,EPIC-5,,High,Done,"project-tracker,milestone,completed",2025-09-18,,3
STORY-39,Documentation,Story,Story,PT,"Target Date: 2025-10-04
Status: Completed

Complete documentation phase
Completed: 2025-10-04",,API Gateway Implementation,EPIC-5,,High,Done,"project-tracker,milestone,completed",2025-10-04,,2
STORY-40,Discovery,Story,Story,PT,"Target Date: 2025-09-29
Status: Completed

Complete discovery phase
Completed: 2025-09-29",,Cloud Migration Initiative,EPIC-6,,High,Done,"project-tracker,milestone,completed",2025-09-29,,5
STORY-41,Prototype,Story,Story,PT,"Target Date: 2025-10-17
Status: Completed

Complete prototype phase
Completed: 2025-10-17",,Cloud Migration Initiative,EPIC-6,,High,Done,"project-tracker,milestone,completed",2025-10-17,,5
STORY-42,Beta Release,Story,Story,PT,"Target Date: 2025-11-04
Status: Completed

Complete beta release phase
Completed: 2025-11-04",,Cloud Migration Initiative,EPIC-6,,High,Done,"project-tracker,milestone,completed",2025-11-04,,3
STORY-43,Production Release,Story,Story,PT,"Target Date: 2025-11-22
Status: Pending

Complete production release phase",,Cloud Migration Initiative,EPIC-6,,Medium,To Do,"project-tracker,milestone,pending",2025-11-22,,3
STORY-44,Discovery,Story,Story,PT,"Target Date: 2025-10-08
Status: Completed

Complete discovery phase
Completed: 2025-10-08",,Mobile App Development,EPIC-7,,High,Done,"project-tracker,milestone,completed",2025-10-08,,5
STORY-45,Prototype,Story,Story,PT,"Target Date: 2025-10-20
Status: Completed

Complete prototype phase
Completed: 2025-10-20",,Mobile App Development,EPIC-7,,High,Done,"project-tracker,milestone,completed",2025-10-20,,5
STORY-46,Beta Release,Story,Story,PT,"Target Date: 2025-11-01
Status: Completed

Complete beta release phase
Completed: 2025-11-01",,Mobile App Development,EPIC-7,,High,Done,"project-tracker,milestone,completed",2025-11-01,,3
STORY-47,Production Release,Story,Story,PT,"Target Date: 2025-11-13
Status: In Progress

Complete production release phase",,Mobile App Development,EPIC-7,,High,In Progress,"project-tracker,milestone,in-progress",2025-11-13,,3
STORY-48,Discovery,Story,Story,PT,"Target Date: 2025-10-29
Status: Completed

Complete discovery phase
Completed: 2025-10-29",,Data Analytics Platform,EPIC-8,,High,Done,"project-tracker,milestone,completed",2025-10-29,,5
STORY-49,Prototype,Story,Story,PT,"Target Date: 2025-11-16
Status: In Progress

Complete prototype phase",,Data Analytics Platform,EPIC-8,,High,In Progress,"project-tracker,milestone,in-progress",2025-11-16,,5
STORY-50,Beta Release,Story,Story,PT,"Target Date: 2025-12-04
Status: Pending

Complete beta release phase",,Data Analytics Platform,EPIC-8,,Medium,To Do,"project-tracker,milestone,pending",2025-12-04,,3
STORY-51,Production Release,Story,Story,PT,"Target Date: 2025-12-22
Status: Pending

Complete production release phase",,Data Analytics Platform,EPIC-8,,Medium,To Do,"project-tracker,milestone,pending",2025-12-22,,3
STORY-52,Planning & Design,Story,Story,PT,"Target Date: 2025-08-25
Status: Completed

Complete planning & design phase
Completed: 2025-08-25",,Security Audit & Compliance,EPIC-9,,High,Done,"project-tracker,milestone,completed",2025-08-25,,3
STORY-53,Development Phase,Story,Story,PT,"Target Date: 2025-09-08
Status: Completed

Complete development phase phase
Completed: 2025-09-08",,Security Audit & Compliance,EPIC-9,,High,Done,"project-tracker,milestone,completed",2025-09-08,,8
STORY-54,Testing & QA,Story,Story,PT,"Target Date: 2025-09-21
Status: Delayed

Complete testing & qa phase",,Security Audit & Compliance,EPIC-9,,Highest,In Progress,"project-tracker,milestone,delayed",2025-09-21,,5
STORY-55,Deployment,Story,Story,PT,"Target Date: 2025-10-04
Status: Delayed

Complete deployment phase",,Security Audit & Compliance,EPIC-9,,Highest,In Progress,"project-tracker,milestone,delayed",2025-10-04,,3
STORY-56,Documentation,Story,Story,PT,"Target Date: 2025-10-18
Status: Delayed

Complete documentation phase",,Security Audit & Compliance,EPIC-9,,Highest,In Progress,"project-tracker,milestone,delayed",2025-10-18,,2
STORY-57,Requirements Gathering,Story,Story,PT,"Target Date: 2025-07-30
Status: Completed

Complete requirements gathering phase
Completed: 2025-07-30",,API Gateway Implementation,EPIC-10,,High,Done,"project-tracker,milestone,completed",2025-07-30,,5
STORY-58,Architecture Design,Story,Story,PT,"Target Date: 2025-08-15
Status: Completed

Complete architecture design phase
Completed: 2025-08-15",,API Gateway Implementation,EPIC-10,,High,Done,"project-tracker,milestone,completed",2025-08-15,,3
STORY-59,Implementation,Story,Story,PT,"Target Date: 2025-09-01
Status: Completed

Complete implementation phase
Completed: 2025-09-01",,API Gateway Implementation,EPIC-10,,High,Done,"project-tracker,milestone,completed",2025-09-01,,8
STORY-60,Integration,Story,Story,PT,"Target Date: 2025-09-18
Status: Completed

Complete integration phase
Completed: 2025-09-18",,API Gateway Implementation,EPIC-10,,High,Done,"project-tracker,milestone,completed",2025-09-18,,5
STORY-61,Go-Live,Story,Story,PT,"Target Date: 2025-10-04
Status: Completed

Complete go-live phase
Completed: 2025-10-04",,API Gateway Implementation,EPIC-10,,High,Done,"project-tracker,milestone,completed",2025-10-04,,5
STORY-62,Discovery,Story,Story,PT,"Target Date: 2025-09-29
Status: Completed

Complete discovery phase
Completed: 2025-09-29",,Cloud Migration Initiative,EPIC-11,,High,Done,"project-tracker,milestone,completed",2025-09-29,,5
STORY-63,Prototype,Story,Story,PT,"Target Date: 2025-10-17
Status: Completed

Complete prototype phase
Completed: 2025-10-17",,Cloud Migration Initiative,EPIC-11,,High,Done,"project-tracker,milestone,completed",2025-10-17,,5
STORY-64,Beta Release,Story,Story,PT,"Target Date: 2025-11-04
Status: Completed

Complete beta release phase
Completed: 2025-11-04",,Cloud Migration Initiative,EPIC-11,,High,Done,"project-tracker,milestone,completed",2025-11-04,,3
STORY-65,Production Release,Story,Story,PT,"Target Date: 2025-11-22
Status: Pending

Complete production release phase",,Cloud Migration Initiative,EPIC-11,,Medium,To Do,"project-tracker,milestone,pending",2025-11-22,,3
STORY-66,Discovery,Story,Story,PT,"Target Date: 2025-10-08
Status: Completed

Complete discovery phase
Completed: 2025-10-08",,Mobile App Development,EPIC-12,,High,Done,"project-tracker,milestone,completed",2025-10-08,,5
STORY-67,Prototype,Story,Story,PT,"Target Date: 2025-10-20
Status: Completed

Complete prototype phase
Completed: 2025-10-20",,Mobile App Development,EPIC-12,,High,Done,"project-tracker,milestone,completed",2025-10-20,,5
STORY-68,Beta Release,Story,Story,PT,"Target Date: 2025-11-01
Status: Completed

Complete beta release phase
Completed: 2025-11-01",,Mobile App Development,EPIC-12,,High,Done,"project-tracker,milestone,completed",2025-11-01,,3
STORY-69,Production Release,Story,Story,PT,"Target Date: 2025-11-13
Status: In Progress

Complete production release phase",,Mobile App Development,EPIC-12,,High,In Progress,"project-tracker,milestone,in-progress",2025-11-13,,3
STORY-70,Discovery,Story,Story,PT,"Target Date: 2025-10-29
Status: Completed

Complete discovery phase
Completed: 2025-10-29",,Data Analytics Platform,EPIC-13,,High,Done,"project-tracker,milestone,completed",2025-10-29,,5
STORY-71,Prototype,Story,Story,PT,"Target Date: 2025-11-16
Status: In Progress

Complete prototype phase",,Data Analytics Platform,EPIC-13,,High,In Progress,"project-tracker,milestone,in-progress",2025-11-16,,5
STORY-72,Beta Release,Story,Story,PT,"Target Date: 2025-12-04
Status: Pending

Complete beta release phase",,Data Analytics Platform,EPIC-13,,Medium,To Do,"project-tracker,milestone,pending",2025-12-04,,3
STORY-73,Production Release,Story,Story,PT,"Target Date: 2025-12-22
Status: Pending

Complete production release phase",,Data Analytics Platform,EPIC-13,,Medium,To Do,"project-tracker,milestone,pending",2025-12-22,,3
STORY-74,Discovery,Story,Story,PT,"Target Date: 2025-08-28
Status: Completed

Complete discovery phase
Completed: 2025-08-28",,Security Audit & Compliance,EPIC-14,,High,Done,"project-tracker,milestone,completed",2025-08-28,,5
STORY-75,Prototype,Story,Story,PT,"Target Date: 2025-09-13
Status: Completed

Complete prototype phase
Completed: 2025-09-13",,Security Audit & Compliance,EPIC-14,,High,Done,"project-tracker,milestone,completed",2025-09-13,,5
STORY-76,Beta Release,Story,Story,PT,"Target Date: 2025-09-29
Status: Delayed

Complete beta release phase",,Security Audit & Compliance,EPIC-14,,Highest,In Progress,"project-tracker,milestone,delayed",2025-09-29,,3
STORY-77,Production Release,Story,Story,PT,"Target Date: 2025-10-15
Status: Delayed

Complete production release phase",,Security Audit & Compliance,EPIC-14,,Highest,In Progress,"project-tracker,milestone,delayed",2025-10-15,,3
STORY-78,Discovery,Story,Story,PT,"Target Date: 2025-08-02
Status: Completed

Complete discovery phase
Completed: 2025-08-02",,API Gateway Implementation,EPIC-15,,High,Done,"project-tracker,milestone,completed",2025-08-02,,5
STORY-79,Prototype,Story,Story,PT,"Target Date: 2025-08-22
Status: Completed

Complete prototype phase
Completed: 2025-08-22",,API Gateway Implementation,EPIC-15,,High,Done,"project-tracker,milestone,completed",2025-08-22,,5
STORY-80,Beta Release,Story,Story,PT,"Target Date: 2025-09-11
Status: Completed

Complete beta release phase
Completed: 2025-09-11",,API Gateway Implementation,EPIC-15,,High,Done,"project-tracker,milestone,completed",2025-09-11,,3
STORY-81,Production Release,Story,Story,PT,"Target Date: 2025-10-01
Status: Completed

Complete production release phase
Completed: 2025-10-01",,API Gateway Implementation,EPIC-15,,High,Done,"project-tracker,milestone,completed",2025-10-01,,3
RISK-82,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Cloud Migration Initiative,EPIC-1,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-83,Resource Availability,Task,Task,PT,"Severity: Medium
Status: Open

Key team members may not be available

Mitigation Plan:
Develop mitigation strategy for resource availability",,Cloud Migration Initiative,EPIC-1,,High,To Do,"project-tracker,risk,medium,open",,,
RISK-84,Scope Creep,Task,Task,PT,"Severity: Medium
Status: Open

Project requirements may expand

Mitigation Plan:
Develop mitigation strategy for scope creep",,Cloud Migration Initiative,EPIC-1,,High,To Do,"project-tracker,risk,medium,open",,,
RISK-85,Integration Challenges,Task,Task,PT,"Severity: High
Status: Open

Complex integration with existing systems

Mitigation Plan:
Develop mitigation strategy for integration challenges",,Mobile App Development,EPIC-2,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-86,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,Mobile App Development,EPIC-2,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-87,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Mobile App Development,EPIC-2,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-88,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Data Analytics Platform,EPIC-3,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-89,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Security Audit & Compliance,EPIC-4,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-90,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,Security Audit & Compliance,EPIC-4,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-91,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,API Gateway Implementation,EPIC-5,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-92,Integration Challenges,Task,Task,PT,"Severity: High
Status: Open

Complex integration with existing systems

Mitigation Plan:
Develop mitigation strategy for integration challenges",,API Gateway Implementation,EPIC-5,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-93,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Cloud Migration Initiative,EPIC-6,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-94,Resource Availability,Task,Task,PT,"Severity: Medium
Status: Mitigated

Key team members may not be available

Mitigation Plan:
Develop mitigation strategy for resource availability",,Mobile App Development,EPIC-7,,High,In Progress,"project-tracker,risk,medium,mitigated",,,
RISK-95,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Data Analytics Platform,EPIC-8,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-96,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,Data Analytics Platform,EPIC-8,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-97,Scope Creep,Task,Task,PT,"Severity: Medium
Status: Mitigated

Project requirements may expand

Mitigation Plan:
Develop mitigation strategy for scope creep",,Data Analytics Platform,EPIC-8,,High,In Progress,"project-tracker,risk,medium,mitigated",,,
RISK-98,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Security Audit & Compliance,EPIC-9,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-99,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,Security Audit & Compliance,EPIC-9,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-100,Scope Creep,Task,Task,PT,"Severity: Medium
Status: Open

Project requirements may expand

Mitigation Plan:
Develop mitigation strategy for scope creep",,Security Audit & Compliance,EPIC-9,,High,To Do,"project-tracker,risk,medium,open",,,
RISK-101,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,API Gateway Implementation,EPIC-10,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-102,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Cloud Migration Initiative,EPIC-11,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-103,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,Mobile App Development,EPIC-12,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-104,Resource Availability,Task,Task,PT,"Severity: Medium
Status: Mitigated

Key team members may not be available

Mitigation Plan:
Develop mitigation strategy for resource availability",,Data Analytics Platform,EPIC-13,,High,In Progress,"project-tracker,risk,medium,mitigated",,,
RISK-105,Integration Challenges,Task,Task,PT,"Severity: High
Status: Open

Complex integration with existing systems

Mitigation Plan:
Develop mitigation strategy for integration challenges",,Data Analytics Platform,EPIC-13,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-106,Integration Challenges,Task,Task,PT,"Severity: High
Status: Open

Complex integration with existing systems

Mitigation Plan:
Develop mitigation strategy for integration challenges",,Security Audit & Compliance,EPIC-14,,Highest,To Do,"project-tracker,risk,high,open",,,
RISK-107,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Mitigated

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,Security Audit & Compliance,EPIC-14,,Highest,In Progress,"project-tracker,risk,high,mitigated",,,
RISK-108,Resource Availability,Task,Task,PT,"Severity: Medium
Status: Open

Key team members may not be available

Mitigation Plan:
Develop mitigation strategy for resource availability",,Security Audit & Compliance,EPIC-14,,High,To Do,"project-tracker,risk,medium,open",,,
RISK-109,Budget Constraints,Task,Task,PT,"Severity: Low
Status: Open

Project may exceed allocated budget

Mitigation Plan:
Develop mitigation strategy for budget constraints",,API Gateway Implementation,EPIC-15,,Medium,To Do,"project-tracker,risk,low,open",,,
RISK-110,Scope Creep,Task,Task,PT,"Severity: Medium
Status: Open

Project requirements may expand

Mitigation Plan:
Develop mitigation strategy for scope creep",,API Gateway Implementation,EPIC-15,,High,To Do,"project-tracker,risk,medium,open",,,
RISK-111,Technology Dependencies,Task,Task,PT,"Severity: High
Status: Open

Third-party services may have delays

Mitigation Plan:
Develop mitigation strategy for technology dependencies",,API Gateway Implementation,EPIC-15,,Highest,To Do,"project-tracker,risk,high,open",,,
