Milestone ID,Project ID,Project Name,Milestone Name,Description,Target Date,Completion Date,Status,Is Overdue,Is Completed,Days Until Target,Days Past Target,Created At,Updated At
17,4,Security Audit & Compliance,Prototype,Complete prototype phase,2025-09-13,2025-09-13,Completed,No,Yes,0,57,2025-11-10 06:11:04,2025-11-10 06:11:04
18,4,Security Audit & Compliance,Beta Release,Complete beta release phase,2025-09-29,,Delayed,Yes,No,0,41,2025-11-10 06:11:04,2025-11-10 06:11:04
19,4,Security Audit & Compliance,Production Release,Complete production release phase,2025-10-15,,Delayed,Yes,No,0,25,2025-11-10 06:11:04,2025-11-10 06:11:04
20,5,API Gateway Implementation,Planning & Design,Complete planning & design phase,2025-07-30,2025-07-30,Completed,No,Yes,0,103,2025-11-10 06:11:04,2025-11-10 06:11:04
21,5,API Gateway Implementation,Development Phase,Complete development phase phase,2025-08-15,2025-08-15,Completed,No,Yes,0,86,2025-11-10 06:11:04,2025-11-10 06:11:04
22,5,API Gateway Implementation,Testing & QA,Complete testing & qa phase,2025-09-01,2025-09-01,Completed,No,Yes,0,69,2025-11-10 06:11:04,2025-11-10 06:11:04
23,5,API Gateway Implementation,Deployment,Complete deployment phase,2025-09-18,2025-09-18,Completed,No,Yes,0,53,2025-11-10 06:11:04,2025-11-10 06:11:04
24,5,API Gateway Implementation,Documentation,Complete documentation phase,2025-10-04,2025-10-04,Completed,No,Yes,0,36,2025-11-10 06:11:04,2025-11-10 06:11:04
25,6,Cloud Migration Initiative,Discovery,Complete discovery phase,2025-09-29,2025-09-29,Completed,No,Yes,0,41,2025-11-10 06:45:18,2025-11-10 06:45:18
26,6,Cloud Migration Initiative,Prototype,Complete prototype phase,2025-10-17,2025-10-17,Completed,No,Yes,0,23,2025-11-10 06:45:18,2025-11-10 06:45:18
27,6,Cloud Migration Initiative,Beta Release,Complete beta release phase,2025-11-04,2025-11-04,Completed,No,Yes,0,5,2025-11-10 06:45:18,2025-11-10 06:45:18
28,6,Cloud Migration Initiative,Production Release,Complete production release phase,2025-11-22,,Pending,No,No,12,0,2025-11-10 06:45:18,2025-11-10 06:45:18
29,7,Mobile App Development,Discovery,Complete discovery phase,2025-10-08,2025-10-08,Completed,No,Yes,0,32,2025-11-10 06:45:18,2025-11-10 06:45:18
30,7,Mobile App Development,Prototype,Complete prototype phase,2025-10-20,2025-10-20,Completed,No,Yes,0,20,2025-11-10 06:45:18,2025-11-10 06:45:18
31,7,Mobile App Development,Beta Release,Complete beta release phase,2025-11-01,2025-11-01,Completed,No,Yes,0,8,2025-11-10 06:45:18,2025-11-10 06:45:18
32,7,Mobile App Development,Production Release,Complete production release phase,2025-11-13,,In Progress,No,No,3,0,2025-11-10 06:45:18,2025-11-10 06:45:18
33,8,Data Analytics Platform,Discovery,Complete discovery phase,2025-10-29,2025-10-29,Completed,No,Yes,0,11,2025-11-10 06:45:18,2025-11-10 06:45:18
34,8,Data Analytics Platform,Prototype,Complete prototype phase,2025-11-16,,In Progress,No,No,6,0,2025-11-10 06:45:18,2025-11-10 06:45:18
35,8,Data Analytics Platform,Beta Release,Complete beta release phase,2025-12-04,,Pending,No,No,24,0,2025-11-10 06:45:18,2025-11-10 06:45:18
36,8,Data Analytics Platform,Production Release,Complete production release phase,2025-12-22,,Pending,No,No,42,0,2025-11-10 06:45:18,2025-11-10 06:45:18
37,9,Security Audit & Compliance,Planning & Design,Complete planning & design phase,2025-08-25,2025-08-25,Completed,No,Yes,0,76,2025-11-10 06:45:18,2025-11-10 06:45:18
38,9,Security Audit & Compliance,Development Phase,Complete development phase phase,2025-09-08,2025-09-08,Completed,No,Yes,0,63,2025-11-10 06:45:18,2025-11-10 06:45:18
39,9,Security Audit & Compliance,Testing & QA,Complete testing & qa phase,2025-09-21,,Delayed,Yes,No,0,49,2025-11-10 06:45:18,2025-11-10 06:45:18
40,9,Security Audit & Compliance,Deployment,Complete deployment phase,2025-10-04,,Delayed,Yes,No,0,36,2025-11-10 06:45:18,2025-11-10 06:45:18
41,9,Security Audit & Compliance,Documentation,Complete documentation phase,2025-10-18,,Delayed,Yes,No,0,23,2025-11-10 06:45:18,2025-11-10 06:45:18
42,10,API Gateway Implementation,Requirements Gathering,Complete requirements gathering phase,2025-07-30,2025-07-30,Completed,No,Yes,0,103,2025-11-10 06:45:18,2025-11-10 06:45:18
43,10,API Gateway Implementation,Architecture Design,Complete architecture design phase,2025-08-15,2025-08-15,Completed,No,Yes,0,86,2025-11-10 06:45:18,2025-11-10 06:45:18
44,10,API Gateway Implementation,Implementation,Complete implementation phase,2025-09-01,2025-09-01,Completed,No,Yes,0,69,2025-11-10 06:45:18,2025-11-10 06:45:18
45,10,API Gateway Implementation,Integration,Complete integration phase,2025-09-18,2025-09-18,Completed,No,Yes,0,53,2025-11-10 06:45:18,2025-11-10 06:45:18
46,10,API Gateway Implementation,Go-Live,Complete go-live phase,2025-10-04,2025-10-04,Completed,No,Yes,0,36,2025-11-10 06:45:18,2025-11-10 06:45:18
47,11,Cloud Migration Initiative,Discovery,Complete discovery phase,2025-09-29,2025-09-29,Completed,No,Yes,0,41,2025-11-10 06:45:32,2025-11-10 06:45:32
48,11,Cloud Migration Initiative,Prototype,Complete prototype phase,2025-10-17,2025-10-17,Completed,No,Yes,0,23,2025-11-10 06:45:32,2025-11-10 06:45:32
49,11,Cloud Migration Initiative,Beta Release,Complete beta release phase,2025-11-04,2025-11-04,Completed,No,Yes,0,5,2025-11-10 06:45:32,2025-11-10 06:45:32
50,11,Cloud Migration Initiative,Production Release,Complete production release phase,2025-11-22,,Pending,No,No,12,0,2025-11-10 06:45:32,2025-11-10 06:45:32
51,12,Mobile App Development,Discovery,Complete discovery phase,2025-10-08,2025-10-08,Completed,No,Yes,0,32,2025-11-10 06:45:32,2025-11-10 06:45:32
52,12,Mobile App Development,Prototype,Complete prototype phase,2025-10-20,2025-10-20,Completed,No,Yes,0,20,2025-11-10 06:45:32,2025-11-10 06:45:32
53,12,Mobile App Development,Beta Release,Complete beta release phase,2025-11-01,2025-11-01,Completed,No,Yes,0,8,2025-11-10 06:45:32,2025-11-10 06:45:32
54,12,Mobile App Development,Production Release,Complete production release phase,2025-11-13,,In Progress,No,No,3,0,2025-11-10 06:45:32,2025-11-10 06:45:32
55,13,Data Analytics Platform,Discovery,Complete discovery phase,2025-10-29,2025-10-29,Completed,No,Yes,0,11,2025-11-10 06:45:32,2025-11-10 06:45:32
56,13,Data Analytics Platform,Prototype,Complete prototype phase,2025-11-16,,In Progress,No,No,6,0,2025-11-10 06:45:32,2025-11-10 06:45:32
57,13,Data Analytics Platform,Beta Release,Complete beta release phase,2025-12-04,,Pending,No,No,24,0,2025-11-10 06:45:32,2025-11-10 06:45:32
58,13,Data Analytics Platform,Production Release,Complete production release phase,2025-12-22,,Pending,No,No,42,0,2025-11-10 06:45:32,2025-11-10 06:45:32
59,14,Security Audit & Compliance,Discovery,Complete discovery phase,2025-08-28,2025-08-28,Completed,No,Yes,0,73,2025-11-10 06:45:32,2025-11-10 06:45:32
60,14,Security Audit & Compliance,Prototype,Complete prototype phase,2025-09-13,2025-09-13,Completed,No,Yes,0,57,2025-11-10 06:45:32,2025-11-10 06:45:32
61,14,Security Audit & Compliance,Beta Release,Complete beta release phase,2025-09-29,,Delayed,Yes,No,0,41,2025-11-10 06:45:32,2025-11-10 06:45:32
62,14,Security Audit & Compliance,Production Release,Complete production release phase,2025-10-15,,Delayed,Yes,No,0,25,2025-11-10 06:45:32,2025-11-10 06:45:32
63,15,API Gateway Implementation,Discovery,Complete discovery phase,2025-08-02,2025-08-02,Completed,No,Yes,0,99,2025-11-10 06:45:32,2025-11-10 06:45:32
64,15,API Gateway Implementation,Prototype,Complete prototype phase,2025-08-22,2025-08-22,Completed,No,Yes,0,79,2025-11-10 06:45:32,2025-11-10 06:45:32
65,15,API Gateway Implementation,Beta Release,Complete beta release phase,2025-09-11,2025-09-11,Completed,No,Yes,0,59,2025-11-10 06:45:32,2025-11-10 06:45:32
66,15,API Gateway Implementation,Production Release,Complete production release phase,2025-10-01,2025-10-01,Completed,No,Yes,0,39,2025-11-10 06:45:32,2025-11-10 06:45:32
